title,studio,domestic_gross,foreign_gross,year,domestic_gross_mil,foreign_gross_mil,worldwide_gross_mil,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,primary_genre
Dragon Ball Z: Resurrection 'F',FUN,8000000.0,53800000.0,2015,8.0,53.8,61.8,tt3819668,Dragon Ball Z: Resurrection 'F',Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F',2015,93.0,"Action,Adventure,Animation",7.3,18286,"Action,Adventure,Animation"
Woman in Gold,Wein.,33299999.0,28300000.0,2015,33.299999,28.3,61.599999,tt2404425,Woman in Gold,Woman in Gold,2015,109.0,"Biography,Drama,History",7.3,48501,"Biography,Drama,History"
Krampus,Uni.,42700000.0,18800000.0,2015,42.7,18.8,61.5,tt3850590,Krampus,Krampus,2015,98.0,"Comedy,Fantasy,Horror",6.2,55400,"Comedy,Fantasy,Horror"
The Walk,TriS,10100000.0,51000000.0,2015,10.1,51.0,61.1,tt2159988,The Walk,The Walk,2015,89.0,"Crime,Thriller",6.8,126,"Crime,Thriller"
The Walk,TriS,10100000.0,51000000.0,2015,10.1,51.0,61.1,tt3488710,The Walk,The Walk,2015,123.0,"Adventure,Biography,Drama",7.3,109714,"Adventure,Biography,Drama"
The Perfect Guy,SGem,57000000.0,3200000.0,2015,57.0,3.2,60.2,tt3862750,The Perfect Guy,The Perfect Guy,2015,100.0,"Crime,Drama,Horror",5.6,8998,"Crime,Drama,Horror"
No Escape,Wein.,27300000.0,27100000.0,2015,27.3,27.1,54.400000000000006,tt1781922,No Escape,No Escape,2015,103.0,"Action,Thriller",6.8,70222,"Action,Thriller"
Sinister 2,Focus,27700000.0,25100000.0,2015,27.7,25.1,52.8,tt2752772,Sinister 2,Sinister 2,2015,97.0,"Horror,Mystery,Thriller",5.3,41782,"Horror,Mystery,Thriller"
The Boy Next Door,Uni.,35400000.0,17000000.0,2015,35.4,17.0,52.4,tt3181822,The Boy Next Door,The Boy Next Door,2015,91.0,"Horror,Thriller",4.7,34816,"Horror,Thriller"
The Night Before,Sony,43000000.0,9300000.0,2015,43.0,9.3,52.3,tt3530002,The Night Before,The Night Before,2015,101.0,"Adventure,Comedy,Fantasy",6.4,58455,"Adventure,Comedy,Fantasy"
Hot Pursuit,WB (NL),34600000.0,17100000.0,2015,34.6,17.1,51.7,tt2967224,Hot Pursuit,Hot Pursuit,2015,87.0,"Action,Comedy,Crime",5.1,44723,"Action,Comedy,Crime"
The Himalayas,CJ,697000.0,49800000.0,2015,0.697,49.8,50.497,tt4253360,The Himalayas,Himalaya,2015,124.0,"Adventure,Biography,Drama",6.4,779,"Adventure,Biography,Drama"
Entourage,WB,32400000.0,16900000.0,2015,32.4,16.9,49.3,tt1674771,Entourage,Entourage,2015,104.0,Comedy,6.6,71519,Comedy
Mortdecai,LGF,7700000.0,39600000.0,2015,7.7,39.6,47.300000000000004,tt3045616,Mortdecai,Mortdecai,2015,107.0,"Action,Comedy,Crime",5.5,61366,"Action,Comedy,Crime"
"McFarland, USA",BV,44500000.0,1200000.0,2015,44.5,1.2,45.7,tt2097298,"McFarland, USA","McFarland, USA",2015,129.0,"Biography,Drama,Sport",7.4,31735,"Biography,Drama,Sport"
Legend,Uni.,1900000.0,41100000.0,2015,1.9,41.1,43.0,tt3569230,Legend,Legend,2015,132.0,"Biography,Crime,Drama",7.0,138947,"Biography,Crime,Drama"
The Gallows,WB (NL),22800000.0,20200000.0,2015,22.8,20.2,43.0,tt2309260,The Gallows,The Gallows,2015,81.0,"Horror,Mystery,Thriller",4.2,17763,"Horror,Mystery,Thriller"
Love the Coopers,LGF,26300000.0,16100000.0,2015,26.3,16.1,42.400000000000006,tt2279339,Love the Coopers,Love the Coopers,2015,107.0,"Comedy,Fantasy,Romance",5.8,18018,"Comedy,Fantasy,Romance"
The Lady in the Van,SPC,10000000.0,31400000.0,2015,10.0,31.4,41.4,tt3722070,The Lady in the Van,The Lady in the Van,2015,104.0,"Biography,Comedy,Drama",6.7,23105,"Biography,Comedy,Drama"
Ricki and the Flash,TriS,26800000.0,14500000.0,2015,26.8,14.5,41.3,tt3623726,Ricki and the Flash,Ricki and the Flash,2015,101.0,"Comedy,Drama,Music",5.9,20932,"Comedy,Drama,Music"
Carol,Wein.,12700000.0,27600000.0,2015,12.7,27.6,40.3,tt2402927,Carol,Carol,2015,118.0,"Drama,Romance",7.2,100680,"Drama,Romance"
The Lazarus Effect,Rela.,25800000.0,12600000.0,2015,25.8,12.6,38.4,tt2918436,The Lazarus Effect,The Lazarus Effect,2015,83.0,"Horror,Mystery,Sci-Fi",5.2,37675,"Horror,Mystery,Sci-Fi"
A Walk in the Woods,BG,29500000.0,8000000.0,2015,29.5,8.0,37.5,tt1178665,A Walk in the Woods,A Walk in the Woods,2015,104.0,"Adventure,Biography,Comedy",6.3,22033,"Adventure,Biography,Comedy"
Burnt,Wein.,13700000.0,23000000.0,2015,13.7,23.0,36.7,tt2503944,Burnt,Burnt,2015,101.0,"Comedy,Drama",6.6,95988,"Comedy,Drama"
Room,A24,14700000.0,20700000.0,2015,14.7,20.7,35.4,tt3170832,Room,Room,2015,118.0,"Drama,Thriller",8.2,316791,"Drama,Thriller"
Steve Jobs,Uni.,17800000.0,16700000.0,2015,17.8,16.7,34.5,tt2080374,Steve Jobs,Steve Jobs,2015,122.0,"Biography,Drama",7.2,138668,"Biography,Drama"
Victor Frankenstein,Fox,5800000.0,28500000.0,2015,5.8,28.5,34.3,tt1976009,Victor Frankenstein,Victor Frankenstein,2015,110.0,"Drama,Horror,Sci-Fi",6.0,47492,"Drama,Horror,Sci-Fi"
Project Almanac,Par.,22300000.0,10900000.0,2015,22.3,10.9,33.2,tt2436386,Project Almanac,Project Almanac,2015,106.0,"Drama,Mystery,Sci-Fi",6.4,71500,"Drama,Mystery,Sci-Fi"
Far from the Madding Crowd,FoxS,12200000.0,18000000.0,2015,12.2,18.0,30.2,tt2935476,Far from the Madding Crowd,Far from the Madding Crowd,2015,119.0,"Drama,Romance",7.1,41099,"Drama,Romance"
Mr. Holmes,RAtt.,17700000.0,11600000.0,2015,17.7,11.6,29.299999999999997,tt3168230,Mr. Holmes,Mr. Holmes,2015,104.0,"Drama,Mystery",6.9,57976,"Drama,Mystery"
Irrational Man,SPC,4000000.0,23400000.0,2015,4.0,23.4,27.4,tt3715320,Irrational Man,Irrational Man,2015,95.0,"Comedy,Drama",6.6,50303,"Comedy,Drama"
American Ultra,LGF,14400000.0,12700000.0,2015,14.4,12.7,27.1,tt3316948,American Ultra,American Ultra,2015,96.0,"Action,Comedy,Sci-Fi",6.1,76769,"Action,Comedy,Sci-Fi"
Aloha,Sony,21100000.0,5200000.0,2015,21.1,5.2,26.3,tt1243974,Aloha,Aloha,2015,105.0,"Comedy,Drama,Romance",5.4,54646,"Comedy,Drama,Romance"
The 33,WB,12200000.0,12700000.0,2015,12.2,12.7,24.9,tt2006295,The 33,The 33,2015,127.0,"Biography,Drama,History",6.9,32263,"Biography,Drama,History"
Capture the Flag,Par.,6700.0,24600000.0,2015,0.0067,24.6,24.6067,tt3896100,Capture the Flag,Atrapa la bandera,2015,94.0,"Adventure,Animation,Comedy",5.9,3121,"Adventure,Animation,Comedy"
The Gunman,ORF,10700000.0,13500000.0,2015,10.7,13.5,24.2,tt2515034,The Gunman,The Gunman,2015,115.0,"Action,Crime,Drama",5.8,36053,"Action,Crime,Drama"
Go Away Mr. Tumor,CL,287000.0,21500000.0,2015,0.287,21.5,21.787,tt4819514,Go Away Mr. Tumor,Gun dan ba! Zhong liu jun,2015,85.0,"Comedy,Romance",6.6,878,"Comedy,Romance"
Blackhat,Uni.,8000000.0,11600000.0,2015,8.0,11.6,19.6,tt2717822,Blackhat,Blackhat,2015,133.0,"Action,Crime,Thriller",5.4,48427,"Action,Crime,Thriller"
Dope,ORF,17500000.0,480000.0,2015,17.5,0.48,17.98,tt3850214,Dope,Dope,2015,103.0,"Comedy,Crime,Drama",7.2,76557,"Comedy,Crime,Drama"
Monkey Kingdom,BV,16399999.0,711000.0,2015,16.399999,0.711,17.110999,tt3660770,Monkey Kingdom,Monkey Kingdom,2015,81.0,Documentary,7.3,3400,Documentary
Scouts Guide to the Zombie Apocalypse,Par.,3700000.0,12400000.0,2015,3.7,12.4,16.1,tt1727776,Scouts Guide to the Zombie Apocalypse,Scouts Guide to the Zombie Apocalypse,2015,93.0,"Action,Comedy,Horror",6.3,40479,"Action,Comedy,Horror"
Suffragette,Focus,4700000.0,11300000.0,2015,4.7,11.3,16.0,tt3077214,Suffragette,Suffragette,2015,106.0,"Biography,Drama,History",6.9,34306,"Biography,Drama,History"
Unfinished Business,Fox,10200000.0,4200000.0,2015,10.2,4.2,14.399999999999999,tt2358925,Unfinished Business,Unfinished Business,2015,91.0,"Comedy,Drama",5.4,29004,"Comedy,Drama"
Do You Believe?,PFR,13000000.0,1400000.0,2015,13.0,1.4,14.4,tt4056738,Do You Believe?,Do You Believe?,2015,120.0,Drama,6.1,6462,Drama
Strange Magic,BV,12400000.0,1200000.0,2015,12.4,1.2,13.6,tt4191054,Strange Magic,Strange Magic,2015,99.0,"Adventure,Animation,Comedy",5.8,9292,"Adventure,Animation,Comedy"
Hot Tub Time Machine 2,Par.,12300000.0,767000.0,2015,12.3,0.767,13.067,tt2637294,Hot Tub Time Machine 2,Hot Tub Time Machine 2,2015,93.0,"Comedy,Mystery,Sci-Fi",5.1,34444,"Comedy,Mystery,Sci-Fi"
Child 44,LG/S,1200000.0,11700000.0,2015,1.2,11.7,12.899999999999999,tt1014763,Child 44,Child 44,2015,137.0,"Crime,Drama,History",6.5,59477,"Crime,Drama,History"
We Are Your Friends,WB,3600000.0,7500000.0,2015,3.6,7.5,11.1,tt3787590,We Are Your Friends,We Are Your Friends,2015,96.0,"Drama,Music,Romance",6.2,32327,"Drama,Music,Romance"
Danny Collins,BST,5600000.0,5200000.0,2015,5.6,5.2,10.8,tt1772288,Danny Collins,Danny Collins,2015,106.0,"Biography,Comedy,Drama",7.0,27435,"Biography,Comedy,Drama"
Me and Earl and the Dying Girl,FoxS,6800000.0,2300000.0,2015,6.8,2.3,9.1,tt2582496,Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,2015,105.0,"Comedy,Drama,Romance",7.8,112627,"Comedy,Drama,Romance"
Shaandaar,FIP,522000.0,7800000.0,2015,0.522,7.8,8.322,tt4007558,Shaandaar,Shaandaar,2015,144.0,"Comedy,Drama,Romance",3.7,4229,"Comedy,Drama,Romance"
Anomalisa,Par.,3800000.0,1900000.0,2015,3.8,1.9,5.699999999999999,tt2401878,Anomalisa,Anomalisa,2015,90.0,"Animation,Comedy,Drama",7.3,58010,"Animation,Comedy,Drama"
Mr. X,FIP,45000.0,5000000.0,2015,0.045,5.0,5.045,tt3848938,Mr. X,Mr. X,2015,133.0,"Action,Crime,Sci-Fi",3.8,1515,"Action,Crime,Sci-Fi"
Hamari Adhuri Kahani,FIP,235000.0,4200000.0,2015,0.235,4.2,4.4350000000000005,tt3483612,Hamari Adhuri Kahani,Hamari Adhuri Kahani,2015,129.0,"Drama,Romance",6.7,4643,"Drama,Romance"
By the Sea,Uni.,538000.0,2800000.0,2015,0.538,2.8,3.338,tt3707106,By the Sea,By the Sea,2015,122.0,"Drama,Romance",5.3,16206,"Drama,Romance"
Sleeping with Other People,IFC,819000.0,2400000.0,2015,0.819,2.4,3.219,tt3165612,Sleeping with Other People,Sleeping with Other People,2015,101.0,"Comedy,Drama,Romance",6.5,36105,"Comedy,Drama,Romance"
He Named Me Malala,FoxS,2700000.0,97100.0,2015,2.7,0.0971,2.7971000000000004,tt3065132,He Named Me Malala,He Named Me Malala,2015,88.0,Documentary,6.9,4167,Documentary
Jem and the Holograms,Uni.,2200000.0,149000.0,2015,2.2,0.149,2.349,tt3614530,Jem and the Holograms,Jem and the Holograms,2015,118.0,"Adventure,Drama,Family",4.1,6683,"Adventure,Drama,Family"
Janis: Little Girl Blue,FR,410000.0,1200000.0,2015,0.41,1.2,1.6099999999999999,tt3707114,Janis: Little Girl Blue,Janis: Little Girl Blue,2015,103.0,"Biography,Documentary,Music",7.4,4485,"Biography,Documentary,Music"
Cartel Land,Orch.,704000.0,422000.0,2015,0.704,0.422,1.126,tt4126304,Cartel Land,Cartel Land,2015,100.0,Documentary,7.4,16653,Documentary
The D Train,IFC,673000.0,102000.0,2015,0.673,0.102,0.775,tt2690138,The D Train,The D Train,2015,101.0,"Comedy,Drama",5.0,10066,"Comedy,Drama"
Captain America: Civil War,BV,408100000.0,745200000.0,2016,408.1,745.2,1153.3000000000002,tt3498820,Captain America: Civil War,Captain America: Civil War,2016,147.0,"Action,Adventure,Sci-Fi",7.8,583507,"Action,Adventure,Sci-Fi"
Rogue One: A Star Wars Story,BV,532200000.0,523900000.0,2016,532.2,523.9,1056.1,tt3748528,Rogue One: A Star Wars Story,Rogue One,2016,133.0,"Action,Adventure,Sci-Fi",7.8,478592,"Action,Adventure,Sci-Fi"
Finding Dory,BV,486300000.0,542300000.0,2016,486.3,542.3,1028.6,tt2277860,Finding Dory,Finding Dory,2016,97.0,"Adventure,Animation,Comedy",7.3,213542,"Adventure,Animation,Comedy"
Zootopia,BV,341300000.0,682500000.0,2016,341.3,682.5,1023.8,tt2948356,Zootopia,Zootopia,2016,108.0,"Adventure,Animation,Comedy",8.0,383446,"Adventure,Animation,Comedy"
The Secret Life of Pets,Uni.,368400000.0,507100000.0,2016,368.4,507.1,875.5,tt2709768,The Secret Life of Pets,The Secret Life of Pets,2016,87.0,"Adventure,Animation,Comedy",6.5,161997,"Adventure,Animation,Comedy"
